Metabolite_name,RefMet_name,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
1-octadecene,1-Octadecene,1-Octadecene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C18H36,252.2817,CCCMONHAUSKTEQ-UHFFFAOYSA-N,C=CCCCCCCCCCCCCCCCC,8217.0
1^-Oxocannabinol,,,,,,,,,,
1-stearoyl-rac-glycerol,MG 18:0,MG 18:0,Glycerolipids,Monoradylglycerols,MG,C21H42O4,358.30831,,,
1-(Trifluoroacetyl)-L-proline_ TMS derivative,,,,,,,,,,
2(1H)-Pyridinone_ 3-acetyl-4-hydroxy-6-methyl-,,,,,,,,,,
2_3-Dihydroxypropyl icosanoate_ 2TMS derivative,,,,,,,,,,
2_4-Thiazolidinedione,,,,,,,,,,
2_5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol,,,,,,,,,,
2_6-Bis(tert-butyl)phenol_ TMS derivative,,,,,,,,,,
2_6-Diisopropylnaphthalene,,,,,,,,,,
2_6-Diphenyl-1_7-dihydrodipyrrolo[2_3-b:3^_2^-e]pyridine,,,,,,,,,,
2-.alpha.-Mannobiose_ octakis(trimethylsilyl) ether (isomer 1),,,,,,,,,,
2-Ethyl-3-hydroxypropionic acid_ di-TMS,2-Ethyl-hydracrylic acid,2-Ethyl-hydracrylic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C5H10O3,118.062995,ZMZQVAUJTDKQGE-UHFFFAOYSA-N,CCC(CO)C(=O)O,188979.0
2-Hydrazino-4_6-dimethylpyrimidine_ 2TBDMS derivative,,,,,,,,,,
2-hydroxybutyric acid,2-Hydroxybutyric acid,2-Hydroxybutyric acid,Fatty Acyls,Fatty acids,Hydroxy FA,C4H8O3,104.047345,AFENDNXGAFYKQO-UHFFFAOYSA-N,CCC(O)C(=O)O,11266.0
2-Hydroxybutyric acid_ 2TMS derivative,2-Hydroxybutyric acid,2-Hydroxybutyric acid,Fatty Acyls,Fatty acids,Hydroxy FA,C4H8O3,104.047345,AFENDNXGAFYKQO-UHFFFAOYSA-N,CCC(O)C(=O)O,11266.0
2-Isopropyl-5-methyl-1-heptanol,,,,,,,,,,
2-ketoisocaproic acid 2,Ketoleucine,Ketoleucine,Organic acids,Keto acids,Short-chain keto acids,C6H10O3,130.062995,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(=O)C(=O)O,70.0
2-Methoxy-6-methyl-4-phenyl-quinazoline,,,,,,,,,,
2-Methoxyestradiol_ 2TMS derivative,2-Methoxyestradiol-17beta,2-Methoxyestradiol-17beta,Sterol Lipids,Steroids,C18 Steroids,C19H26O3,302.188195,CQOQDQWUFQDJMK-SSTWWWIQSA-N,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,66414.0
2-(Methylamino)ethanol_ tert-butyldimethylsilyl ether,,,,,,,,,,
2-Monomyristin_ 2TMS derivative,MG 14:0,MG 14:0,Glycerolipids,Monoradylglycerols,MG,C17H34O4,302.24571,,,
2-Monostearin_ 2TMS derivative,,,,,,,,,,
2-O-Glycerol-.alpha.-d-galactopyranoside_ hexa-TMS,,,,,,,,,,
2-Palmitoylglycerol_ 2TMS derivative,MG 0:0/16:0/0:0,MG 0:0/16:0/0:0,Glycerolipids,Monoradylglycerols,MG,C19H38O4,330.27701,BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,123409.0
2-Phenyl-1_3-oxazol-2-ine,,,,,,,,,,
2-Propenoic acid_ 2_3_3-tris[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Acrylic acid,Acrylic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C3H4O2,72.02113,NIXOWILDQLNWCW-UHFFFAOYSA-N,C=CC(=O)O,6581.0
2-Pyrrolidinone_ TMS derivative,2-Pyrrolidinone,2-Pyrrolidinone,Organoheterocyclic compounds,Pyrrolidones,Pyrrolidones,C4H7NO,85.052764,HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1CCCN1,12025.0
3-[3-(4-Hydroxyphenyl)-3-oxoprop-1-en-1-yl]-6-methylchromen-4-one,,,,,,,,,,
3-.alpha.-Mannobiose_ octakis(trimethylsilyl) ether (isomer 1),,,,,,,,,,
3-.alpha.-Mannobiose_ octakis(trimethylsilyl) ether (isomer 2),,,,,,,,,,
3-Bromo-1-propanol_ TMS derivative,,,,,,,,,,
3-indoleacetic acid,Indoleacetic acid,Indoleacetic acid,Alkaloids,Tryptophan alkaloids,Indoleacetic acid alkaloids,C10H9NO2,175.063329,SEOVTRFCIGRIMH-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccccc12,802.0
3-indolelactic acid 2,Indoleacetic acid,Indoleacetic acid,Alkaloids,Tryptophan alkaloids,Indoleacetic acid alkaloids,C10H9NO2,175.063329,SEOVTRFCIGRIMH-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccccc12,802.0
3-Pyridinol_ TMS derivative,3-Hydroxypyridine,3-Hydroxypyridine,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,C5H5NO,95.037114,GRFNBEZIAWKNCO-UHFFFAOYSA-N,Oc1cccnc1,7971.0
4-Bromo-1-butanol_ TBDMS derivative,,,,,,,,,,
4-hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,Polyketides,Phenolic acids,Phenolic acids,C8H8O3,152.047345,XQXPVVBIMDBYFF-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)cc1,127.0
4-Pyridinol_ TMS derivative,4-Pyridone,4-Pyridone,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,C5H5NO,95.037114,GCNTZFIIOFTKIY-UHFFFAOYSA-N,O=c1cc[nH]cc1,12290.0
5_5^-Biphthalide,,,,,,,,,,
5alpha-Cholestanol,Dihydrocholesterol,Dihydrocholesterol,Sterol Lipids,Sterols,Cholesterols,C27H48O,388.370515,QYIXCDOBOSTCEI-QCYZZNICSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6665.0
9-Decenoic acid_ TMS derivative,Caproleic acid,Caproleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C10H18O2,170.13068,KHAVLLBUVKBTBG-UHFFFAOYSA-N,C=CCCCCCCCC(=O)O,61743.0
9-Hexadecenoic acid_ (Z)-_ TBDMS derivative,Palmitoleic acid,Palmitoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C16H30O2,254.22458,SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCC(=O)O,445638.0
9-Tetradecenoic acid_ (E)-_ TMS derivative,,,,,,,,,,
Acetamide_ TMS derivative,Acetamide,Acetamide,Organic acids,Carboximidic acids,Carboximidic acids,C2H5NO,59.037114,DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,178.0
acetohydroxamic acid,Acetohydroxamic acid,Acetohydroxamic acid,Organic acids,Carboxylic acids,Other carboxylic acids,C2H5NO2,75.032029,RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,1990.0
acetyl chloride_ 2_2^-[1_2-ethanediylbis(oxy)]bis-,,,,,,,,,,
.alpha.-D-Glucopyranose_ 2_3_4_6-tetrakis-O-(trimethylsilyl)-_ bis(trimethylsilyl) phosphate,Glucose,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
.alpha.-Tocopherol_ TMS derivative,alpha-Tocopherol,alpha-Tocopherol,Prenol Lipids,Quinones and hydroquinones,Vitamin E,C29H50O2,430.38108,GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,14985.0
Aminomalonic acid_ tris(trimethylsilyl)-,Aminomalonic acid,Aminomalonic acid,Organic acids,Amino acids and peptides,Amino acids,C3H5NO4,119.021859,JINBYESILADKFW-UHFFFAOYSA-N,NC(C(=O)O)C(=O)O,100714.0
Anthraquinone_ 1-(o-chlorophenyl)-,"9,10-Anthraquinone","9,10-Anthraquinone",Polyketides,Aromatic polyketides,Anthracenes and phenanthrenes,C14H8O2,208.05243,RZVHIXYEVGDQDX-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2ccccc21,6780.0
arabinose,Arabinose,Arabinose,Carbohydrates,Monosaccharides,Pentoses,C5H10O5,150.052825,PYMYPHUHKUWMLA-WDCZJNDASA-N,O=C[C@@H](O)[C@H](O)[C@H](O)CO,66308.0
arachidic acid,Arachidic acid,Arachidic acid,Fatty Acyls,Fatty acids,Saturated FA,C20H40O2,312.30283,VKOBVWXKNCXXDE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC(=O)O,10467.0
Arachidonic acid_ TMS derivative,Arachidonic acid,Arachidonic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C20H32O2,304.24023,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,444899.0
aspartic acid 1,Aspartic acid,Aspartic acid,Organic acids,Amino acids and peptides,Amino acids,C4H7NO4,133.037509,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(=O)O)C(=O)O,5960.0
aspartic acid 2,Aspartic acid,Aspartic acid,Organic acids,Amino acids and peptides,Amino acids,C4H7NO4,133.037509,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(=O)O)C(=O)O,5960.0
Benzoic acid_ 4-ethoxy-_ ethyl ester,,,,,,,,,,
Benzoic acid_ 5-methoxy-2-[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Benzoic acid,Benzoic acid,Polyketides,Phenolic acids,Phenolic acids,C7H6O2,122.03678,WPYMKLBDIGXBTP-UHFFFAOYSA-N,O=C(O)c1ccccc1,243.0
Benzoic Acid_ TMS derivative_,Benzoic acid,Benzoic acid,Polyketides,Phenolic acids,Phenolic acids,C7H6O2,122.03678,WPYMKLBDIGXBTP-UHFFFAOYSA-N,O=C(O)c1ccccc1,243.0
Beta- alanine 1,beta-Alanine,beta-Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(=O)O,239.0
.beta.-D-Galactofuranose_ 1_2_3_5_6-pentakis-O-(trimethylsilyl)-,,,,,,,,,,
.beta.-D-Galactofuranoside_ ethyl 2_3_5_6-tetrakis-O-(trimethylsilyl)-,,,,,,,,,,
.beta.-Gentiobiose_ octakis(trimethylsilyl) ether_ methyloxime (isomer 1),beta-Gentiobiose,beta-Gentiobiose,Carbohydrates,Disaccharides,Disaccharides,C12H22O11,342.116215,DLRVVLDZNNYCBX-LIZSDCNHSA-N,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,441422.0
.beta.-Tocopherol_ TMS derivative,beta-tocopherol,beta-tocopherol,Prenol Lipids,Quinones and hydroquinones,Vitamin E,C28H48O2,416.36543,WGVKWNUPNGFDFJ-DQCZWYHMSA-N,Cc1cc(O)c(C)c2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,6857447.0
Butanoic acid_ 2_4-bis[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Butyric acid,Butyric acid,Fatty Acyls,Fatty acids,Saturated FA,C4H8O2,88.05243,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,264.0
Butylphosphonic acid_ pentyl 4-(2-phenylprop-2-yl)phenyl ester,,,,,,,,,,
Campesterol_ TMS derivative,Campesterol,Campesterol,Sterol Lipids,Sterols,Ergosterols,C28H48O,400.370515,SGNBVLSWZMBQTH-PODYLUTMSA-N,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,173183.0
capric acid,Capric acid,Capric acid,Fatty Acyls,Fatty acids,Saturated FA,C10H20O2,172.14633,GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,2969.0
Carbonic acid_ eicosyl vinyl ester,,,,,,,,,,
Carbonic acid_ octadecyl vinyl ester,,,,,,,,,,
Cholest-7-en-3-ol_ (3.beta._5.alpha.)-_ TMS derivative,,,,,,,,,,
cholesterol,Cholesterol,Cholesterol,Sterol Lipids,Sterols,Cholesterols,C27H46O,386.354865,HVYWMOMLDIMFJA-DPAQBDIFSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,5997.0
citric acid,Citric acid,Citric acid,Organic acids,TCA acids,TCA acids,C6H8O7,192.027005,KRKNYBCHXYNGOX-UHFFFAOYSA-N,O=C(O)CC(O)(CC(=O)O)C(=O)O,311.0
citrulline 2,Citrulline,Citrulline,Organic acids,Amino acids and peptides,Amino acids,C6H13N3O3,175.095692,RHGKLRLOHDJJDR-BYPYZUCNSA-N,NC(=O)NCCC[C@H](N)C(=O)O,9750.0
Creatinine,Creatinine,Creatinine,Organoheterocyclic compounds,Azoles,Imidazolines,C4H7N3O,113.058912,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(=O)NC1=N,137319715.0
Cyclodecasiloxane_ eicosamethyl-,,,,,,,,,,
Cycloheptasiloxane_ tetradecamethyl-,,,,,,,,,,
Cyclohexane_ 1_2_3_4_5_6-hexaethyl-,,,,,,,,,,
Cyclohexasiloxane_ dodecamethyl-,,,,,,,,,,
Cyclohexene_ 3-butyl-3_5_5-trimethyl-1-(trimethylsilyloxy)-,,,,,,,,,,
Cyclononasiloxane_ octadecamethyl-,,,,,,,,,,
Cyclooctasiloxane_ hexadecamethyl-,,,,,,,,,,
D-allose 1,Allose,Allose,Organic oxygen compounds,Organooxygen compounds,Organooxygen compounds,C6H12O6,180.06339,WQZGKKKJIJFFOK-HOWGCPQDSA-N,OC[C@@H]1OC(O)[C@@H](O)[C@@H](O)[C@H]1O,12285879.0
D-Arabino-Hexonic acid_ 2-deoxy-3_5-bis-O-(trimethylsilyl)-_ .gamma.-lactone_ bis(trimethylsilyl) phosphate,,,,,,,,,,
Decane_ 2_4-dimethyl-,,,,,,,,,,
D-glucose 1,Glucose,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
D-glucose 2,Glucose,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
dibenzo[b_i][1_4_8_11]tetraazacyclotetradecine_ 5_6_7_8_9_14_15_16_17_18-decahydro,,,,,,,,,,
Diethanolamine_ 2TMS derivative,Diethanolamine,Diethanolamine,Organic nitrogen compounds,Amines,"1,2-aminoalcohols",C4H11NO2,105.078979,ZBCBWPMODOFKDW-UHFFFAOYSA-N,OCCNCCO,8113.0
Dihydrouracil_ 2TMS derivative,Dihydrouracil,Dihydrouracil,Nucleic acids,Pyrimidines,Other pyrimidines,C4H6N2O2,114.042928,OIVLITBTBDPEFK-UHFFFAOYSA-N,O=C1CCNC(=O)N1,649.0
dioctyl phthalate,Dioctyl phthalate,Dioctyl phthalate,Benzenoids,Benzenes,Phthalate esters,C24H38O4,390.27701,MQIUGAXCHLFZKX-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,8346.0
Disiloxane_ 1_3-bis(1_1-dimethylethyl)-1_1_3_3-tetramethyl-,,,,,,,,,,
Disiloxane_ hexamethyl-,,,,,,,,,,
DL-isoleucine 1,Isoleucine,Isoleucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(=O)O,6306.0
DL-isoleucine 2,Isoleucine,Isoleucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(=O)O,6306.0
DL-Ornithine_ 3TMS derivative,Ornithine,Ornithine,Organic acids,Amino acids and peptides,Amino acids,C5H12N2O2,132.089878,AHLPHDHHMVZTML-BYPYZUCNSA-N,NCCC[C@H](N)C(=O)O,6262.0
D-malic acid,D-Malic acid,D-Malic acid,Organic acids,Hydroxy acids,Beta hydroxy acids,C4H6O5,134.021525,BJEPYKJPYRNKOW-UWTATZPHSA-N,O=C(O)C[C@@H](O)C(=O)O,92824.0
D-mannitol,Mannitol,Mannitol,Carbohydrates,Monosaccharides,Sugar alcohols,C6H14O6,182.07904,FBPFZTCFMRRESA-KVTDHHQDSA-N,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,6251.0
Doconexent_ TMS derivative,DHA,DHA,Fatty Acyls,Fatty acids,Unsaturated FA,C22H32O2,328.24023,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,445580.0
Dodecane_ 1-iodo-,,,,,,,,,,
Dodecane_ 4_6-dimethyl-,,,,,,,,,,
D-threitol,Threitol,Threitol,Carbohydrates,Monosaccharides,Sugar alcohols,C4H10O4,122.05791,UNXHWFMMPAWVPI-QWWZWVQMSA-N,OC[C@@H](O)[C@H](O)CO,169019.0
D-(+)-Turanose_ octakis(trimethylsilyl) ether,Turanose,Turanose,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides,C12H22O11,342.116215,RULSWEULPANCDV-PIXUTMIVSA-N,O=C(CO)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,5460935.0
eicosane,Eicosane,Eicosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C20H42,282.328651,CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,8222.0
eicosapentaenoic acid,Eicosapentaenoic acid,Eicosapentaenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C20H30O2,302.22458,,,
elaidic acid,Elaidic acid,Elaidic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H34O2,282.25588,ZQPPMHVWECSIRJ-MDZDMXLPSA-N,CCCCCCCC/C=C/CCCCCCCC(=O)O,637517.0
Ethanol_ 2-(methylamino)-_ N-trifluoroacetyl_ O-(tert-butyldimethylsilyl),,,,,,,,,,
ethanolamine,Ethanolamine,Ethanolamine,Organic nitrogen compounds,Amines,"1,2-aminoalcohols",C2H7NO,61.052764,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,700.0
Ethanolamine_ 3TMS derivative,Ethanolamine,Ethanolamine,Organic nitrogen compounds,Amines,"1,2-aminoalcohols",C2H7NO,61.052764,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,700.0
Ethyl .alpha.-D-glucopyranoside_ 4TMS derivative,,,,,,,,,,
galactitol,Galactitol,Galactitol,Carbohydrates,Monosaccharides,Sugar alcohols,C6H14O6,182.07904,FBPFZTCFMRRESA-GUCUJZIJSA-N,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,11850.0
galactonic acid 2,Galactonic acid,Galactonic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H12O7,196.058305,RGHNJXZEOKUKBD-MGCNEYSASA-N,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,128869.0
Galactose oxime_ 6TMS derivative,,,,,,,,,,
galacturonic acid 1,Galacturonic acid,Galacturonic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H10O7,194.042655,IAJILQKETJEXLJ-RSJOWCBRSA-N,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,84740.0
.gamma.-Tocopherol_ TMS derivative,gamma-Tocopherol,gamma-Tocopherol,Prenol Lipids,Quinones and hydroquinones,Vitamin E,C28H48O2,416.36543,QUEDXNHFTDJVIY-DQCZWYHMSA-N,Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,92729.0
gluconic acid 2,Gluconic acid,Gluconic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H12O7,196.058305,RGHNJXZEOKUKBD-SQOUGZDYSA-N,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10690.0
Gluconic acid_ 2-methoxime_ 3TMS derivative,,,,,,,,,,
Gluconic acid_ 2-methoxime_ tetra(trimethylsilyl)-_ trimethylsilyl ester,Gluconic acid,Gluconic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H12O7,196.058305,RGHNJXZEOKUKBD-SQOUGZDYSA-N,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10690.0
Glucose_ 5TMS derivative,Glucose,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
glycerol,Glycerol,Glycerol,Organic oxygen compounds,Alcohols and polyols,"1,2-diols",C3H8O3,92.047345,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,753.0
glycerol 1-phosphate,sn-Glycero-3-phosphate,sn-Glycero-3-phosphate,Organic acids,Organic phosphoric acids,Organic phosphoric acids,C3H9O6P,172.013678,AWUCVROLDVIAJX-GSVOUGTGSA-N,O=P(O)(O)OC[C@H](O)CO,439162.0
glycine,Glycine,Glycine,Organic acids,Amino acids and peptides,Amino acids,C2H5NO2,75.032029,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,750.0
Glycine_ 2TMS derivative,Glycine,Glycine,Organic acids,Amino acids and peptides,Amino acids,C2H5NO2,75.032029,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,750.0
Glycine_ TMS derivative,Glycine,Glycine,Organic acids,Amino acids and peptides,Amino acids,C2H5NO2,75.032029,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,750.0
glycolic acid,Glycolic acid,Glycolic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C2H4O3,76.016045,AEMRFAOFKBGASW-UHFFFAOYSA-N,O=C(O)CO,757.0
Glycolic acid_ 2TMS derivative,Glycolic acid,Glycolic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C2H4O3,76.016045,AEMRFAOFKBGASW-UHFFFAOYSA-N,O=C(O)CO,757.0
guanosine 2,Guanosine,Guanosine,Nucleic acids,Purines,Purine ribonucleosides,C10H13N5O5,283.09167,NYHBQMYGNKIUIF-UUOKFMHZSA-N,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,135398635.0
Heneicosane,Heneicosane,Heneicosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C21H44,296.344301,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCC,12403.0
